type,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,ph,sulphates,alcohol,density,quality_grade
white,4.82,0.244,0.051,7.3,0.052,3.066,0.526,10.67,0.9953,Medium
white,8.36,0.481,0.378,7.77,0.0829,3.491,0.649,10.29,0.99644,Low
white,7.01,0.086,0.619,19.05,0.0435,3.319,0.349,8.76,0.99827,Medium
white,8.22,0.42,0.385,7.42,0.0741,2.931,0.493,10.06,0.99678,Low
,7.3,0.294,0.171,8.94,0.052,2.934,0.297,10.55,0.99588,Medium
red,8.9,0.479,0.344,5.1,0.1054,3.052,0.539,9.36,0.99601,Low
white,7.4,0.509,0.156,8.83,0.0316,3.436,0.405,11.09,0.99546,Medium
red,9.17,0.449,0.458,9.28,0.0828,3.334,0.744,11.33,0.995,High
white,9.51,0.272,0.195,8.16,0.0441,3.444,0.579,9.84,0.99872,Medium
white,8.07,0.327,0.319,6.34,0.0521,3.202,0.652,11.16,0.99805,High
red,6.66,0.561,0.207,4.07,0.0983,3.169,0.538,10.28,0.99676,Low
white,7.49,0.296,0.244,8.16,0.0557,3.013,0.408,11.6,0.99436,Medium
red,9.66,0.363,0.488,6.01,0.0983,3.252,0.464,12.54,0.99544,Medium
white,8.32,0.253,0.322,6.92,0.0399,3.171,0.562,9.25,0.99685,Medium
red,7.93,0.648,0.243,3.91,0.0677,3.165,0.807,11.21,0.99548,Medium
white,8.28,0.347,0.173,9.32,0.0502,3.443,0.579,11.77,0.9949,Medium
red,9.42,0.565,0.085,6.23,0.0794,3.181,,9.38,0.99717,Low
white,9.83,0.314,0.16,11.78,0.0472,3.4,0.507,9.8,0.99692,Low
white,6.17,0.274,0.323,7.25,0.0356,2.962,0.526,9.78,0.99608,Medium
white,6.44,0.508,0.428,10.28,0.068,3.603,0.773,10.26,0.99619,Medium
white,6.66,0.321,0.243,8.31,0.0446,3.144,0.678,10.03,0.99795,Medium
white,6.46,0.296,0.498,7.52,0.0714,3.306,0.561,10.19,0.99686,High
white,6.02,0.45,0.224,8.39,0.0502,3.33,0.543,11.28,0.99602,Medium
red,5.36,0.448,0.281,5.55,0.0897,3.125,0.626,8.41,0.99648,Low
white,6.52,0.281,0.18,6.21,0.0584,3.323,0.589,9.38,0.99847,Medium
red,8.81,0.521,0.429,3.1,0.0676,3.331,0.54,11.1,0.99545,Medium
white,6.46,0.34,0.562,10.78,0.0555,3.093,0.429,10.98,0.99719,Medium
red,10.53,0.546,0.099,4.52,0.1089,3.095,0.714,9.29,0.99784,Low
white,7.01,0.549,0.268,9.23,0.0538,3.207,0.533,10.99,0.99566,Medium
white,8.42,0.374,0.462,10.67,0.0635,3.183,0.644,11.79,0.99394,High
white,7.29,0.102,0.136,8.4,0.0604,3.409,0.728,10.35,0.9987,High
white,7.91,0.373,0.378,10.34,0.0546,3.305,0.592,9.34,0.99838,Medium
white,7.31,0.344,0.457,8.77,0.0528,3.189,0.573,11.32,0.99665,High
,8.51,0.344,0.319,8.9,0.0582,3.291,0.914,12.21,0.99671,High
white,7.06,0.365,0.376,12.89,0.0614,2.893,0.555,9.47,0.99774,Medium
white,7.55,0.337,0.521,8.13,0.0297,3.108,0.399,10.44,0.99788,Medium
white,7.4,0.335,0.544,10.83,0.0537,3.243,0.496,11.54,0.99524,High
red,8.08,0.581,0.303,2.81,0.0772,3.367,0.776,10.52,0.99726,Low
red,8.85,0.466,0.246,5.92,0.0741,3.23,0.435,8.57,0.99778,Low
red,10.86,0.425,0.2,11.04,0.0994,3.419,0.5,10.87,0.99582,Low
white,6.7,0.642,0.427,19.71,0.039,3.33,0.663,9.37,0.99771,Low
red,8.86,0.448,0.145,2.86,0.0591,3.127,0.557,9.07,0.99676,Low
white,8.38,0.35,0.28,7.71,0.0619,3.179,0.517,8.59,0.99863,Low
white,8.25,0.19,0.322,6.58,0.0287,3.261,0.659,11.65,0.99529,High
red,8.41,0.532,0.25,5.03,0.0511,3.133,0.504,9.52,0.9957,Low
white,4.38,0.247,0.344,11.49,0.0636,3.43,0.354,10.75,0.99597,Medium
white,7.57,0.296,0.618,13.08,0.0524,3.034,0.363,11.01,0.99584,High
red,5.96,0.625,0.295,10.05,0.0871,3.247,0.66,10.57,0.99731,Medium
red,10.02,0.567,0.258,2.77,0.0734,3.31,,10.71,0.99668,Low
red,8.59,0.577,0.432,62.72,0.0592,3.153,0.507,10.8,0.99764,Medium
red,9.5,0.343,0.339,4.01,0.0622,3.119,0.451,10.55,0.99703,Medium
red,7.41,0.704,0.483,4.89,0.0759,3.189,0.558,9.6,0.99692,Low
white,5.29,0.221,0.33,7.47,0.0309,3.322,0.664,9.51,0.99745,Medium
red,8.69,0.673,0.28,2.82,0.0846,3.125,0.49,10.29,0.99649,Low
red,8.36,0.622,0.096,9.93,0.0731,3.04,0.51,10.27,0.99726,Low
white,6.46,0.398,0.116,6.94,0.0528,3.373,0.387,10.85,0.99635,Medium
white,7.09,0.255,0.09,7.24,0.0523,3.26,0.486,11.56,0.99509,Medium
white,10.04,0.355,0.356,14.27,0.0558,3.351,0.571,10.76,0.99638,High
white,7.92,0.293,0.147,,0.0575,3.314,0.784,9.55,0.99788,Medium
white,8.15,0.343,0.461,9.88,0.0448,3.527,0.556,8.11,0.99786,Medium
,9.33,0.495,0.314,8.91,0.0828,3.367,0.584,9.59,0.99771,Low
white,8.63,0.136,0.281,13.79,0.0535,3.091,0.634,8.99,0.99655,Medium
white,6.79,0.452,0.209,9.65,0.0136,3.271,0.614,9.63,0.99839,Medium
white,4.74,0.332,0.385,10.9,0.0597,3.116,,10.65,0.99695,Medium
red,8.19,0.472,0.213,8.91,0.0822,3.132,0.866,10.49,0.99809,Medium
white,7.89,0.284,0.192,8.27,0.0585,2.988,0.527,12.35,0.99394,High
white,5.93,0.376,0.453,6.71,0.0307,3.157,0.558,10.91,0.99726,High
red,8.21,0.431,0.353,11.53,0.0753,3.282,0.656,12.4,0.99574,High
white,6.24,0.114,0.282,10.47,0.0336,3.19,0.572,11.15,0.99586,High
white,8.65,0.381,0.387,8.69,0.0612,3.035,0.713,11.54,0.99534,High
red,9.22,0.572,0.311,2.87,0.0589,,,10.02,0.99607,Low
white,7.72,0.32,0.356,5.33,0.0361,3.517,0.624,9.27,0.99651,Medium
white,7.68,0.225,0.212,9.81,0.058,3.249,0.55,9.93,0.99645,Medium
red,8.36,0.529,0.558,2.1,0.0706,3.076,0.708,10.39,0.99558,Medium
white,7.22,0.194,0.24,8.66,0.0361,3.269,0.504,9.74,0.99873,Medium
red,7.1,0.417,0.497,3.82,0.0936,3.528,0.548,9.35,0.99629,Low
red,5.99,0.445,0.287,4.27,0.0942,3.293,0.678,10.84,0.99644,Medium
white,7.17,0.424,0.407,13.31,0.0608,2.782,0.573,9.34,0.99805,Medium
white,7.36,0.304,0.398,7.04,0.0627,3.598,0.432,8.79,0.99847,Low
red,9.73,0.475,0.448,5.6,0.0765,2.923,0.751,9.22,0.99816,Medium
white,8.73,0.535,0.209,7.04,0.0469,3.169,0.618,10.15,0.99778,Medium
white,8.73,0.375,0.439,9.5,0.0403,3.03,0.521,9.36,0.99723,Medium
red,7.3,0.554,0.532,5.85,0.0825,3.089,0.534,10.16,0.99699,Medium
white,6.61,0.303,0.279,8.66,0.0421,3.243,0.574,11.03,0.99587,High
red,8.93,0.46,0.314,8.92,0.0735,2.889,0.669,11.0,0.99733,Medium
white,9.79,0.121,0.247,,0.059,3.186,0.339,9.71,0.99921,Medium
white,8.63,0.437,0.268,5.62,0.0678,3.372,0.575,9.03,0.99686,Medium
white,8.23,0.385,0.515,6.27,0.056,3.074,0.608,9.8,0.99541,Medium
red,7.97,0.502,0.189,5.87,0.1069,2.991,0.308,11.09,0.99659,Low
white,6.03,0.326,0.197,10.06,0.0394,3.179,0.554,11.33,0.99683,High
red,9.27,0.594,0.503,,0.0524,3.149,0.673,10.77,0.99813,Medium
red,7.19,0.365,0.385,6.81,0.0907,3.111,0.66,11.66,0.99623,High
red,8.14,0.461,0.564,4.56,0.0684,3.022,0.686,12.22,0.99632,High
white,6.87,0.226,0.256,14.9,0.0459,3.278,0.491,9.89,0.99865,Medium
red,10.15,0.697,0.325,6.56,0.0535,3.289,0.465,11.96,0.99661,Medium
white,6.61,0.428,0.231,14.15,0.0365,3.04,0.314,10.13,0.99774,Low
white,4.32,0.12,0.327,13.04,0.0275,3.061,0.661,11.47,0.99458,High
red,8.95,0.369,0.097,4.56,0.0735,3.22,0.674,11.14,0.99603,Medium
red,7.63,0.507,0.392,8.31,0.0741,3.055,0.73,8.32,0.99884,Low
red,8.45,0.473,0.349,4.56,0.0813,3.227,0.503,9.39,0.99752,Low
white,6.9,0.208,0.303,15.71,0.0686,3.42,0.626,9.12,0.99782,Medium
white,6.7,0.534,0.263,7.97,0.0602,3.191,0.35,8.53,0.99979,Low
red,9.27,0.551,0.203,7.03,0.0557,3.018,0.486,11.32,0.99519,Low
white,5.31,0.387,0.397,17.04,0.0591,3.259,0.545,12.57,0.99547,High
red,7.83,0.451,0.169,7.19,0.0817,3.173,0.67,10.13,0.99723,Low
white,7.75,0.412,0.371,7.53,0.0485,3.177,0.731,11.3,0.99512,High
white,6.32,0.302,0.559,6.13,0.0497,3.271,,11.96,0.99433,High
white,5.23,0.312,0.488,5.86,0.0531,3.304,0.426,10.62,0.99497,Medium
white,7.74,0.401,0.129,9.99,0.0396,3.205,0.42,10.37,0.99716,Medium
white,8.24,0.177,0.246,8.39,0.0473,3.191,0.447,10.14,0.99688,Medium
red,8.35,0.68,0.361,3.09,0.0978,3.51,0.857,10.96,0.99545,Low
red,6.24,0.538,0.302,7.83,0.0694,3.38,0.681,11.32,0.99418,Medium
red,9.18,0.648,0.142,,0.0646,3.325,0.724,10.88,0.99666,Low
white,5.17,0.232,0.356,8.34,0.0491,3.22,0.501,10.85,0.99614,High
white,7.34,0.248,0.309,14.42,0.033,3.049,0.53,10.35,0.9961,High
white,6.02,0.224,0.54,5.69,0.0242,3.369,0.614,8.73,0.99734,Medium
white,5.72,0.365,0.28,7.61,0.0448,3.222,0.469,11.34,0.99564,Medium
red,7.91,0.527,0.45,7.17,0.1017,3.113,0.555,9.05,0.99834,Low
white,6.8,0.294,0.158,6.44,0.0494,3.164,0.449,11.05,0.99582,Medium
red,7.69,0.419,0.187,8.25,0.0827,3.055,0.536,11.19,0.99492,Low
red,9.05,0.393,0.397,9.58,0.048,3.359,0.596,9.2,0.99773,Medium
white,6.51,0.335,0.44,5.19,0.0566,3.302,0.431,9.76,0.99822,Medium
white,8.08,0.293,0.195,14.63,0.0514,3.227,0.564,12.63,0.99473,High
white,7.31,0.271,0.313,10.14,0.04,3.194,0.564,10.32,0.99683,High
red,7.63,0.675,0.144,4.17,0.0827,3.098,0.568,9.12,0.99756,Low
white,6.05,0.332,0.288,5.94,0.0526,2.88,0.431,11.24,0.99514,High
red,6.59,0.647,0.41,8.85,0.0641,2.988,0.603,9.59,0.9966,Low
white,7.32,0.287,0.258,6.23,0.055,3.089,0.469,8.38,0.99702,Low
white,6.61,0.364,0.28,10.14,0.068,3.066,0.536,10.95,0.99727,Medium
red,5.79,0.514,0.174,3.08,0.0766,3.243,0.722,9.44,0.99798,Low
red,7.81,0.35,0.232,5.4,0.067,3.322,0.44,10.74,0.99647,Medium
,7.41,0.663,0.521,8.64,0.0773,3.181,0.851,9.55,0.99773,Medium
white,8.73,0.326,0.319,7.39,0.0628,3.411,0.521,11.14,0.99634,Medium
white,5.13,0.415,0.19,14.59,0.0316,3.083,0.579,10.59,0.99587,Medium
white,5.41,0.265,0.272,47.13,0.0587,3.18,0.44,8.0,0.99857,Low
white,8.22,0.324,0.118,6.45,0.0398,,0.667,10.8,0.99591,High
white,8.49,0.253,0.188,6.01,0.0536,3.364,0.515,10.1,0.99923,Medium
red,7.58,0.644,0.473,3.63,0.0715,,0.543,11.89,0.99628,Medium
white,6.3,0.371,0.293,8.47,0.0415,3.22,0.461,10.81,0.99648,Medium
red,9.08,0.557,0.537,12.0,0.1028,2.952,0.558,11.19,0.99722,Medium
white,4.44,0.476,0.299,16.49,0.0289,3.065,0.58,9.65,0.99849,Medium
white,4.95,0.456,0.306,7.32,0.0573,3.364,0.551,9.57,0.9962,Low
white,6.69,0.417,0.387,7.26,0.076,2.889,0.525,10.37,0.99653,Medium
white,8.7,0.198,0.0,,0.0603,3.401,,10.02,0.99703,Medium
red,7.92,0.45,0.335,7.88,0.06,3.275,0.498,11.8,0.99599,High
white,7.11,0.24,0.304,13.58,0.0308,3.088,0.475,10.24,0.99664,High
red,9.65,0.593,0.488,10.54,0.0687,3.075,0.645,9.11,0.99777,Low
white,9.32,0.357,0.426,6.72,0.0524,3.484,0.609,9.53,0.99707,Medium
red,7.77,0.381,0.174,2.62,0.0834,3.412,0.686,11.41,0.99674,High
red,8.38,0.501,0.459,7.32,0.0609,3.182,0.59,10.22,0.99556,Medium
red,10.4,0.371,0.279,6.03,0.0669,3.22,0.636,10.17,0.99652,Medium
red,6.73,0.515,0.201,2.22,0.0678,3.103,0.57,11.51,0.99404,Medium
red,9.53,0.354,0.334,2.59,0.0773,3.22,0.381,9.44,0.99664,Low
white,5.88,0.393,0.286,,0.0798,3.099,0.504,8.05,0.9991,Low
white,7.11,0.378,0.495,8.23,0.036,3.188,0.485,9.5,0.99781,Medium
red,8.13,0.711,0.351,7.22,0.0653,3.472,0.465,10.65,0.99619,Low
red,7.35,0.605,0.335,3.15,0.063,3.186,0.522,10.14,0.99795,Low
red,7.32,0.478,0.418,7.5,0.0895,3.043,0.606,8.76,0.99939,Low
white,7.3,0.422,0.441,,0.0494,2.995,0.394,11.47,0.99567,Medium
red,9.5,0.38,0.404,7.8,0.0666,3.219,0.505,10.57,0.99677,High
red,8.26,0.424,0.48,4.26,0.0746,3.086,0.776,10.81,0.99592,High
red,8.48,0.553,0.383,3.83,0.0681,3.237,0.398,10.84,0.99687,Medium
white,7.63,0.124,0.33,5.93,0.0544,2.957,0.508,9.04,0.99685,Medium
red,7.33,0.516,0.459,4.61,0.1203,,0.45,10.72,0.99803,Low
white,7.81,0.238,0.299,12.55,0.0583,3.041,0.44,11.35,0.99687,Medium
white,7.9,0.35,0.314,14.0,0.0486,3.207,0.506,11.6,0.99454,High
white,9.86,0.232,0.517,6.24,0.04,3.149,,11.16,0.99531,High
white,6.59,0.382,0.505,8.47,0.0298,3.458,0.599,10.94,0.99659,High
white,6.5,0.342,0.309,15.3,0.061,3.226,0.692,8.58,0.99803,Low
red,9.25,0.66,0.256,13.03,0.0902,3.492,0.691,10.38,0.99721,Low
white,7.9,0.341,0.486,7.72,0.043,3.284,0.653,9.4,0.99728,High
white,6.41,0.263,0.406,13.01,0.0682,3.414,0.364,11.75,0.99686,High
red,7.96,0.495,0.348,8.9,0.0803,,0.561,11.59,0.99564,Medium
white,7.6,0.206,0.271,11.7,0.0616,3.252,0.586,9.4,0.99978,Low
red,7.49,0.561,0.35,2.47,0.0844,3.383,0.695,10.35,0.99729,Medium
white,6.55,0.399,0.307,7.2,0.0473,3.336,0.74,10.66,0.99525,High
white,7.1,0.587,0.23,8.18,0.0357,3.28,0.658,11.35,0.99772,Medium
white,8.1,0.278,0.325,8.11,0.0478,3.151,0.638,8.64,0.99927,Low
white,6.33,0.313,0.342,8.44,0.0626,3.176,0.846,8.08,0.99913,Medium
white,4.97,0.282,0.265,17.05,0.0424,3.371,0.542,10.44,0.99725,Medium
white,4.89,0.361,0.418,7.79,0.0566,3.402,0.495,8.0,0.99779,Low
white,5.61,0.378,0.465,9.79,0.0338,3.111,0.551,10.57,0.99492,High
red,6.96,0.515,0.426,,0.0917,3.088,0.48,11.02,0.9961,Medium
white,6.83,0.449,0.277,8.47,0.0547,3.064,0.538,11.7,0.99677,Medium
white,5.69,0.278,0.401,6.32,0.032,3.324,0.323,9.75,0.99764,Low
red,7.63,0.619,0.319,5.64,0.0766,3.061,0.526,10.57,0.99809,Low
red,7.55,0.574,0.162,2.21,0.094,3.323,0.576,11.08,0.99728,Low
white,6.52,0.339,0.391,10.14,0.0311,3.282,0.644,9.17,0.99783,Medium
red,9.85,0.489,0.328,2.12,0.0639,,0.723,11.36,0.9969,High
red,9.13,0.763,0.621,6.61,0.079,3.435,0.474,10.69,0.99781,Low
red,8.42,0.438,0.485,3.9,0.112,2.981,0.839,9.76,0.9972,Medium
red,7.89,0.55,0.395,3.3,0.0699,3.449,0.608,10.55,0.99637,Medium
red,7.92,0.445,0.34,7.98,0.0874,3.248,0.619,10.25,0.99696,Medium
white,7.36,0.519,0.33,7.53,0.0539,2.889,0.336,11.22,0.99379,Medium
red,9.04,0.609,0.19,5.49,0.0712,3.439,0.516,10.02,0.99729,Low
white,6.0,0.272,0.101,5.7,0.0524,3.346,0.656,10.64,0.99713,Medium
white,7.04,0.391,0.205,14.45,0.0433,3.136,0.55,9.75,0.99742,Medium
red,6.17,0.546,0.304,5.77,0.0746,3.055,0.603,9.42,0.99789,Low
red,8.63,0.468,0.057,5.76,0.0551,,0.617,10.58,0.9965,Medium
white,7.84,0.416,0.245,10.22,0.0496,3.562,0.357,9.46,0.99575,Low
red,8.09,0.559,0.28,1.95,0.0935,3.061,0.578,11.24,0.99744,Medium
red,10.4,0.542,0.284,11.89,0.0809,3.01,0.759,11.02,0.99581,Medium
white,6.03,0.336,0.231,7.71,0.0664,3.24,0.66,9.6,0.99686,High
white,7.24,0.383,0.269,67.66,0.0587,2.954,0.515,10.62,0.99772,Medium
white,6.96,0.363,0.517,7.63,0.0491,3.053,0.718,9.59,0.99831,High
red,8.29,0.526,0.389,3.96,0.0706,3.349,0.439,8.72,0.99846,Low
white,6.87,0.276,0.243,9.97,0.0427,3.27,0.413,9.77,0.99796,Medium
white,7.12,0.509,0.302,18.66,0.0279,3.142,0.754,10.35,0.99571,Medium
red,9.33,0.415,0.307,9.8,0.076,3.203,0.659,10.95,0.99613,Medium
white,8.52,0.383,0.218,10.37,0.0522,3.134,0.495,10.56,0.99772,Low
red,8.4,0.488,0.218,6.71,0.1057,3.191,,11.35,0.99524,Medium
red,9.3,0.696,0.431,5.61,0.0879,3.086,0.493,9.37,0.99673,Low
white,6.23,0.25,0.26,14.4,0.037,3.113,0.563,10.0,0.99713,Low
red,9.24,0.446,0.179,8.09,0.0584,3.108,0.614,12.13,0.99523,High
red,7.56,0.423,0.305,2.71,0.0769,3.091,0.592,8.37,0.99911,Low
white,8.2,0.372,0.324,6.51,0.0622,3.357,0.391,9.93,0.99588,Low
white,9.43,0.203,0.073,10.5,0.0467,3.316,0.562,9.27,0.99542,Low
white,6.87,0.292,0.305,6.27,0.0581,3.06,0.466,10.19,0.99772,Medium
white,4.59,0.125,0.414,8.95,0.0473,3.021,0.412,9.94,0.99614,High
white,6.4,0.364,0.364,,0.0608,3.176,0.682,11.03,0.99558,High
red,9.76,0.47,0.578,6.79,0.056,3.523,0.85,10.67,0.99449,High
red,9.01,0.371,0.46,2.88,0.1041,3.046,0.823,9.03,0.99885,Medium
red,8.67,0.629,0.484,3.39,0.0633,3.176,0.668,9.78,0.99757,Low
red,9.51,0.389,0.646,6.91,0.0919,3.213,0.558,10.4,0.99698,Medium
white,7.53,0.42,0.401,17.69,0.0459,3.184,0.522,11.18,0.99627,Medium
red,9.74,0.45,0.33,5.14,0.0783,3.131,0.639,12.95,0.99255,High
white,8.01,0.5,0.427,11.83,0.0464,3.373,0.48,11.14,0.99515,Medium
red,10.07,0.595,0.243,6.82,0.0838,3.268,0.748,9.34,0.99725,Low
red,8.79,0.419,0.323,3.88,0.0869,3.327,0.346,10.3,0.99612,Low
white,8.0,0.248,0.232,11.88,0.0659,3.288,,10.59,0.99628,Medium
red,8.06,0.581,0.358,2.48,0.1011,,0.686,9.85,0.99742,Low
red,7.74,0.494,0.232,8.34,0.085,3.438,0.489,10.89,0.99716,Medium
red,10.28,0.503,0.228,7.05,0.1057,3.4,0.561,8.02,0.99751,Low
white,7.24,0.467,0.36,7.26,0.0514,3.549,0.601,10.98,0.99617,Medium
white,7.89,0.265,0.293,6.38,0.0662,3.383,0.712,9.9,0.99779,High
,7.14,0.349,0.079,7.44,0.0564,3.1,0.375,10.28,0.99598,Medium
red,7.75,0.615,0.135,3.75,0.0718,3.327,0.426,11.94,0.99514,Low
red,8.41,0.601,0.172,4.72,0.0827,3.307,0.476,9.08,0.99831,Low
white,8.58,0.324,0.204,7.66,0.0575,3.488,0.345,10.69,0.99645,Medium
white,7.61,0.311,0.36,7.26,0.0495,3.055,0.354,11.23,0.99656,Medium
white,5.12,0.166,0.336,5.64,0.0562,3.284,0.413,10.58,0.99662,High
white,6.76,0.234,0.438,6.2,0.063,3.098,0.678,8.71,0.99794,Medium
white,8.96,0.372,0.4,12.65,0.0496,3.277,0.493,11.82,0.99437,High
red,8.16,0.506,0.439,4.12,0.0358,3.168,0.594,10.18,0.99712,Medium
red,6.42,0.527,0.383,4.77,0.1052,3.272,0.475,9.85,0.99728,Low
white,9.08,0.444,0.335,7.54,0.0455,2.988,0.606,10.07,0.9961,Medium
red,9.15,0.401,0.442,11.35,0.0677,3.319,0.815,10.0,0.99758,Medium
white,6.92,0.316,0.42,6.9,0.0331,3.231,0.423,9.15,0.99897,Medium
white,6.59,0.359,0.355,6.78,0.045,3.223,0.737,10.57,0.99595,High
white,8.19,0.27,0.463,10.33,0.0416,3.493,0.574,9.77,0.99661,Medium
white,6.4,0.483,0.029,9.19,0.0389,3.143,0.532,11.1,0.99538,Medium
white,8.26,0.431,0.275,10.44,0.0398,3.251,0.578,10.94,0.9947,Medium
white,7.6,0.369,0.273,10.2,0.0579,3.215,0.577,12.11,0.99697,High
white,7.27,0.519,0.448,12.01,0.0805,3.23,0.753,10.18,0.99649,Medium
white,7.16,0.19,0.499,6.05,0.0623,3.533,0.592,9.56,0.99668,High
red,8.21,0.519,0.136,6.77,0.0968,3.21,0.655,8.86,0.99707,Low
white,8.15,0.377,0.479,6.79,0.0443,3.115,0.479,12.7,0.99428,High
white,6.05,0.249,0.169,5.43,0.0516,3.481,0.631,11.1,0.99544,High
red,6.62,0.55,0.173,6.97,0.0864,3.154,0.475,9.67,0.99865,Low
red,9.08,0.409,0.282,6.76,0.0701,2.959,0.603,12.18,0.99397,High
white,7.69,0.409,0.272,8.57,0.0436,3.089,0.876,11.82,0.99404,High
white,7.53,0.446,0.123,12.09,0.0628,3.013,0.229,8.98,0.99847,Low
red,8.85,0.547,0.388,3.61,0.0964,2.93,0.618,9.61,0.99731,Low
red,8.05,0.335,0.392,7.59,0.081,3.146,0.623,10.26,0.99663,Medium
red,9.27,0.423,0.436,4.98,0.0621,3.189,0.563,9.28,0.99821,Low
red,8.35,0.576,0.258,5.18,0.0756,3.377,0.565,10.3,0.99691,Low
white,6.46,0.342,0.305,5.52,0.0284,3.294,0.541,11.15,0.99598,High
red,8.06,0.251,0.306,8.94,0.0811,,0.56,8.96,0.99673,Low
red,10.62,0.644,0.513,6.62,0.0838,3.066,0.617,10.71,0.99492,Low
white,5.09,0.354,0.0,10.63,0.0459,3.333,0.471,11.63,0.99496,Medium
red,8.95,0.438,0.195,3.39,0.0836,3.409,0.833,10.82,0.99535,Medium
red,6.55,0.619,0.311,6.22,0.0863,3.259,0.56,10.32,0.99701,Low
white,6.88,0.272,0.18,8.18,0.0539,3.263,0.598,9.7,0.99571,Medium
white,6.52,0.271,0.279,10.0,0.032,3.01,0.45,11.27,0.99551,High
white,4.71,0.376,0.295,9.27,0.0462,3.358,0.642,9.16,0.99766,Low
white,7.43,0.518,0.231,15.8,0.0561,3.467,0.618,10.65,0.99644,Medium
white,6.58,0.502,0.318,13.64,0.0737,3.248,0.58,10.43,0.99703,Medium
white,4.69,0.376,0.385,7.9,0.0459,3.111,0.407,11.58,0.99534,High
white,7.92,0.386,0.282,10.17,0.0583,3.176,0.44,9.79,0.99665,Low
white,8.58,0.419,0.256,7.7,0.0632,3.137,0.732,9.88,0.99829,High
white,8.64,0.214,0.29,11.96,0.0471,3.146,0.438,9.1,0.99758,Low
white,7.39,0.404,0.309,8.29,0.0672,3.297,0.607,10.86,0.99756,Medium
white,7.05,0.267,0.101,7.41,0.068,3.242,0.417,9.95,0.99681,Medium
red,9.86,0.552,0.365,6.17,0.1007,3.351,0.711,9.49,0.9975,Low
white,8.85,0.317,0.256,13.2,0.0569,3.256,0.448,9.59,0.9973,Low
red,9.65,0.57,0.461,9.14,0.1154,3.07,0.474,10.96,0.9964,Low
white,5.96,0.352,0.381,7.52,0.0408,,0.445,9.24,0.99737,Medium
white,7.22,0.05,0.45,15.18,0.0819,3.116,0.464,9.34,0.99774,Medium
white,7.48,0.358,0.189,6.68,0.0615,3.172,0.579,11.34,0.99723,Medium
white,5.01,0.404,0.265,7.17,0.0701,3.469,0.538,10.23,0.9978,Medium
red,8.92,0.565,0.161,8.56,0.0752,3.493,,11.4,0.99675,Low
white,9.5,0.33,0.225,,0.0627,3.325,0.527,10.02,0.99583,Medium
white,7.7,0.504,0.46,8.7,0.0714,3.218,0.393,10.4,0.99564,Medium
red,10.02,0.551,0.488,4.69,0.0637,2.996,0.667,10.56,0.99675,High
red,8.6,0.564,0.172,12.37,0.0776,3.233,0.689,11.86,0.99608,Medium
red,8.32,0.624,0.255,3.21,0.0479,3.081,0.587,11.77,0.995,Medium
white,7.42,0.376,0.301,6.56,0.0473,3.445,0.563,11.61,0.99498,High
white,6.1,0.25,0.38,16.54,0.0378,2.959,,9.74,0.99855,High
white,5.94,0.096,0.099,7.91,0.0467,3.258,0.511,9.36,0.99825,Medium
white,8.39,0.292,0.118,12.98,0.0939,3.069,0.417,11.2,0.99693,Low
white,8.51,0.416,0.369,7.55,0.0758,3.199,0.6,11.85,0.995,High
red,7.31,0.485,0.076,3.89,0.0584,3.3,0.454,11.62,0.99513,Medium
white,8.06,0.42,0.256,13.25,0.0583,3.353,0.505,10.41,0.99755,Medium
red,8.3,0.535,0.329,15.21,0.092,3.191,0.518,11.16,0.99578,Low
white,7.37,0.469,0.36,13.68,0.0449,3.314,0.446,11.18,0.99545,Medium
white,7.51,0.31,0.293,7.41,0.0527,3.101,0.5,10.56,0.99573,Medium
white,8.09,0.387,0.266,8.57,0.0541,3.237,0.638,10.6,0.99606,Medium
white,7.09,0.391,0.411,6.62,0.0298,3.35,0.663,10.5,0.9974,High
red,9.95,0.67,0.344,3.68,0.0645,3.25,0.701,9.57,0.99609,Low
red,8.74,0.349,0.232,3.6,0.0826,3.121,0.63,9.68,0.99791,Medium
red,9.09,0.474,0.315,4.4,0.0815,3.158,0.559,9.66,0.99673,Low
red,7.48,0.605,0.356,5.82,0.0694,3.352,0.307,8.72,0.99802,Low
white,9.37,0.495,0.516,8.68,0.0381,3.036,0.574,10.55,0.99643,Medium
white,7.52,0.364,0.404,11.1,0.0487,3.058,0.256,10.36,0.99654,Low
white,7.78,0.311,0.456,9.18,0.0633,3.29,0.299,11.2,0.99572,Medium
white,5.23,0.416,0.237,10.7,0.0489,3.134,,11.72,0.99511,Medium
white,6.1,0.427,0.247,11.35,0.0743,2.982,0.562,11.79,0.99493,High
white,8.36,0.304,0.282,7.45,0.0396,3.403,0.476,11.89,0.99655,High
red,8.72,0.553,0.293,5.03,0.0829,3.035,,9.61,0.99743,Low
red,6.29,0.638,0.189,24.45,0.0747,3.17,0.645,8.9,0.99794,Low
white,8.14,0.529,0.462,7.28,0.0588,3.107,0.5,11.38,0.99524,Medium
white,6.4,0.414,0.416,10.93,0.0383,3.155,0.696,11.85,0.99503,High
red,9.95,0.524,0.273,2.92,0.1089,3.067,0.778,12.03,0.99466,Medium
white,6.9,0.335,0.387,11.47,0.0246,3.307,0.592,10.91,0.99693,High
white,7.23,0.396,0.337,6.98,0.0757,3.217,0.437,8.3,0.99791,Low
